Feat: Turn Undead	A character in-tune with the spiritual forces of good or evil can impact the life-force of the undead, turning their will toward the will of the caster.  This is not so much a spell, as it is an innate ability, using the spirit and power of the character rather than mana.	FALSE	1	Permanent Action Turn enable	2	Wisdom >= 14	Alignment != NEUTRAL	2
Feat: Resist Fire	This skill allows a character to become in tune and adapt to this sphere of magic, thus enabling a character to improve their resistances and avoid any negative effects of this sphere. This skill grants a 10% resistance and 1 point bonus to their save against any spell or spell effect from this sphere.  	FALSE	2	Permanent save Fire 1	Permanent resist Fire 10	1	Intelligence >= 10	2
Feat: Resist Energy	This skill allows a character to become in tune and adapt to this sphere of magic, thus enabling a character to improve their resistances and avoid any negative effects of this sphere. This skill grants a 10% resistance and 1 point bonus to their save against any spell or spell effect from this sphere.  	FALSE	2	Permanent save Energy 1	Permanent resist Energy 10	1	Intelligence >= 10	2
Feat: Resist Air	This skill allows a character to become in tune and adapt to this sphere of magic, thus enabling a character to improve their resistances and avoid any negative effects of this sphere. This skill grants a 10% resistance and 1 point bonus to their save against any spell or spell effect from this sphere.  	FALSE	2	Permanent save Air 1	Permanent resist Air 10	1	Intelligence >= 10	2
Feat: Resist Life	This skill allows a character to become in tune and adapt to this sphere of magic, thus enabling a character to improve their resistances and avoid any negative effects of this sphere. This skill grants a 10% resistance and 1 point bonus to their save against any spell or spell effect from this sphere.  	FALSE	2	Permanent save Life 1	Permanent resist Life 10	1	Intelligence >= 10	2
Feat: Resist Water	This skill allows a character to become in tune and adapt to this sphere of magic, thus enabling a character to improve their resistances and avoid any negative effects of this sphere. This skill grants a 10% resistance and 1 point bonus to their save against any spell or spell effect from this sphere.  	FALSE	2	Permanent save Water 1	Permanent resist Water 10	1	Intelligence >= 10	2
Feat: Resist Nature	This skill allows a character to become in tune and adapt to this sphere of magic, thus enabling a character to improve their resistances and avoid any negative effects of this sphere. This skill grants a 10% resistance and 1 point bonus to their save against any spell or spell effect from this sphere.  	FALSE	2	Permanent save Nature 1	Permanent resist Nature 10	1	Intelligence >= 10	2
Feat: Resist Earth	This skill allows a character to become in tune and adapt to this sphere of magic, thus enabling a character to improve their resistances and avoid any negative effects of this sphere. This skill grants a 10% resistance and 1 point bonus to their save against any spell or spell effect from this sphere.  	FALSE	2	Permanent save Earth 1	Permanent resist Earth 10	1	Intelligence >= 10	2
Feat: Resist Death	This skill allows a character to become in tune and adapt to this sphere of magic, thus enabling a character to improve their resistances and avoid any negative effects of this sphere. This skill grants a 10% resistance and 1 point bonus to their save against any spell or spell effect from this sphere.  	FALSE	2	Permanent save Death 1	Permanent resist Death 10	1	Intelligence >= 10	2
Feat: Scribe Scroll	The abilty of a magic-wielding character to transpose his or her thoughts to parchment is an invaluable tool.  Infusing the power into the paper itself, to be called upon in times of need when mana reserves are low.  The better the scroll paper is, the more powerful spells can be written and recalled.	FALSE	1	Permanent Action ScribeScroll Enable	1	Intelligence >= 10	2	
Feat: Mix Potion	Alchemy has long been a powerful and necessary tradition.  Even the most powerful warrior relies on a healing or haste potion now and again.  This skill allows one to create potions of all sorts.  The type and potentcy depends on the skill and abilities of the character mixing.	FALSE	1	Permanent Action MixPotion Enable	2	Dexterity >= 8	Intelligence >= 8	2
Feat: Imbue Weapon	A weapon is only as good as its components.  In a mage's case, this can be substantial.  For a part with a mage present, weapon enhancements can be invaluable.  This Skill allows a mage to focus his or her power into a weapon of choice, granting certain spell-like abilities under certain conditions, such as on contact.	FALSE	1	Permanent Action ImbueWeapon Enable	1	Intelligence >= 12	2
Feat: Imbue Armor	Many famouse pieces of armor were far more powerful than the sum of their parts, resisting the most intense dragon flames, or hiding the wearer amidst a continual shadow. This Skill allows a mage to focus his or her power into a piece of armor, granting certain spell-like abilities under certain conditions, such as when activated or when hit.	FALSE	1	Permanent Action ImbueArmor Enable	1	Intelligence >= 12	2
Feat: Imbue Ammo	A ranged weapon is often no more valuable than the ammo it can fire.  Magical ammo can often turn the tide of battle.  Although ammunition has a chance to be lost or broken, imbuing a projectile can be the most effective way of dealing with an opponent.  This Skill allows a mage to focus his or her power into a stack of ammo, granting certain spell-like abilities under certain conditions, such as on contact.	FALSE	1	Permanent Action ImbueAmmo Enable	1	Intelligence >= 12	2
Feat: Imbue Trap	A trap imbued with magic can turn from annoying into deadly.  This skill allows a magic wielder to imue a given trap with a known spell effect.  The more powerful the spell and attributes of the caster, the more powerful the effect can be.	FALSE	1	Permanent Action ImbueTrap Enable	1	Intelligence >= 12	2
Feat: Imbue Item	Any common item can be imbued with magical properties, and become quite useful or even greatly powerful.  This Skill allows a mage to focus his or her power into an item of choice, granting certain spell-like abilities under certain conditions.  The most common form would be wands or staves that have a certain number of charges imbued into them.  There have even been legends of magical golden pantaloons and other nonsense.	FALSE	1	Permanent Action ImbueItem Enable	1	Intelligence >= 12	2
